Hour	Total Flights	On Time
0	14204	Delayed
0	6164	On Time
1	4630	Delayed
1	1231	On Time
2	1304	Delayed
2	547	On Time
3	418	Delayed
3	415	On Time
4	251	Delayed
4	3139	On Time
5	5680	Delayed
5	142487	On Time
6	81432	Delayed
6	365305	On Time
7	98370	Delayed
7	338330	On Time
8	119913	Delayed
8	329311	On Time
9	137356	Delayed
9	297494	On Time
10	153962	Delayed
10	277498	On Time
11	170165	Delayed
11	274537	On Time
12	169764	Delayed
12	254485	On Time
13	184216	Delayed
13	251701	On Time
14	183702	Delayed
14	233173	On Time
15	191151	Delayed
15	219975	On Time
16	194351	Delayed
16	239666	On Time
17	204793	Delayed
17	227695	On Time
18	193505	Delayed
18	207279	On Time
19	193304	Delayed
19	193984	On Time
20	158022	Delayed
20	127969	On Time
21	137156	Delayed
21	117694	On Time
22	72892	Delayed
22	46759	On Time
23	30433	Delayed
23	15670	On Time
